Doug,Make_x,Model_x,Version,Kilometers,Engine,Fuel Type,Transmission,Year_x,City,Price,Currency,Link,Year_y,Make_y,Model_y,Styling,Acceleration,Handling,Fun Factor,Cool Factor,WEEKEND TOTAL,Features,Comfort,Quality,Practicality,Value,DAILY TOTAL,DOUGSCORE,Video Link,Filming City,Filming State,Vehicle Country
Ford GT 2017,Ford,Mustang,5.0 Gt 421cv,10300 km,5.0,Nafta,Manual,2019,San Justo,78000,USD,https://auto.mercadolibre.com.ar/MLA-1543098416-ford-mustang-2017-50-gt-421cv-_JM,2017,Ford,GT,8,10,10,10,10,48,5,2,6,1,6,20,68,17:38,Tooele,Utah,USA
Ford GT 2017,Ford,Mustang,5.0 Gt 421cv,100000 km,5.0,Nafta,Manual,2017,Vicente López,67000,USD,https://auto.mercadolibre.com.ar/MLA-1392560069-ford-mustang-2017-50-gt-421cv-_JM,2017,Ford,GT,8,10,10,10,10,48,5,2,6,1,6,20,68,17:38,Tooele,Utah,USA
Ford GT 2017,Ford,Mustang,5.0 Gt 421cv,18000 km,5.0,Nafta,Manual,2017,25 de Mayo,74900,USD,https://auto.mercadolibre.com.ar/MLA-1384949657-ford-mustang-gt-_JM,2017,Ford,GT,8,10,10,10,10,48,5,2,6,1,6,20,68,17:38,Tooele,Utah,USA
Ford GT 2017,Ford,Mustang,5.0 Gt 421cv,22000 km,5.0,Nafta,Manual,2017,Pilar,80000,USD,https://auto.mercadolibre.com.ar/MLA-1530392588-ford-mustang-50-gt-421cv-2019-_JM,2017,Ford,GT,8,10,10,10,10,48,5,2,6,1,6,20,68,17:38,Tooele,Utah,USA
Ford GT 2017,Ford,Mustang,5.0 Gt 421cv,37000 km,5.0,Nafta,Manual,2017,Ituzaingó,75000,USD,https://auto.mercadolibre.com.ar/MLA-1385550831-ford-mustang-2017-50-gt-421cv-_JM,2017,Ford,GT,8,10,10,10,10,48,5,2,6,1,6,20,68,17:38,Tooele,Utah,USA
Ford GT 2017,Ford,Mustang,5.0 Gt 421cv,17000 km,5.0,Nafta,Manual,2017,Córdoba,68000,USD,https://auto.mercadolibre.com.ar/MLA-1392142363-ford-mustang-2017-50-gt-421cv-_JM,2017,Ford,GT,8,10,10,10,10,48,5,2,6,1,6,20,68,17:38,Tooele,Utah,USA
Ford GT 2017,Ford,Mustang,5.0 Gt 421cv,90000 km,5.0,Nafta,Manual,2017,Río Segundo,72000,USD,https://auto.mercadolibre.com.ar/MLA-1393533099-ford-mustang-2017-50-gt-421cv-rec-dos-usado-y-tambien-moto-_JM,2017,Ford,GT,8,10,10,10,10,48,5,2,6,1,6,20,68,17:38,Tooele,Utah,USA
Ford GT 2017,Ford,Mustang,5.0 Gt 421cv,40000 km,5.0,Nafta,Manual,2017,Capital Federal,75000,USD,https://auto.mercadolibre.com.ar/MLA-1393088611-ford-mustang-gt-v8-50-tivct-32valvulas-421cv-2017-magnaflow-_JM,2017,Ford,GT,8,10,10,10,10,48,5,2,6,1,6,20,68,17:38,Tooele,Utah,USA
Ford GT 2017,Ford,Mustang,5.0 Gt 421cv,3500 km,5.0,Nafta,Manual,2017,Santa Teresita,77000,USD,https://auto.mercadolibre.com.ar/MLA-1393524359-ford-mustang-2017-50-gt-421cv-_JM,2017,Ford,GT,8,10,10,10,10,48,5,2,6,1,6,20,68,17:38,Tooele,Utah,USA
Ford GT 2017,Ford,Mustang,5.0 Gt 421cv,9800 km,5.0,Nafta,Manual,2017,Santa Fe capital,79000,USD,https://auto.mercadolibre.com.ar/MLA-1521452620-ford-mustang-2017-50-gt-421cv-_JM,2017,Ford,GT,8,10,10,10,10,48,5,2,6,1,6,20,68,17:38,Tooele,Utah,USA
Porsche Cayenne GTS 2021,Porsche,Cayenne,4.8 V8 Gts (957),134000 km,4.8,Nafta,Automática,2010,San Isidro,53500,USD,https://auto.mercadolibre.com.ar/MLA-1388394027-porsche-cayenne-gts-48-v8-_JM,2021,Porsche,Cayenne GTS,7,7,6,6,5,31,8,7,8,8,5,36,67,14:28:00,San Diego,California,Germany
Porsche 911 Carrera S 2020,Porsche,911,3.8 Carrera 4 S,30000 km,3.8,Nafta,Automática,2013,Vicente López,255000,USD,https://auto.mercadolibre.com.ar/MLA-1489089276-porsche-911-carrera-4s-_JM,2020,Porsche,911 Carrera S,7,9,8,7,6,37,7,5,9,3,6,30,67,29:34,San Diego,California,Germany
Porsche 911 Carrera S 2020,Porsche,911,3.8 Carrera 4 S Coupe 385cv (997),45000 km,3.8,Nafta,Manual,2010,Vicente López,167000,USD,https://auto.mercadolibre.com.ar/MLA-1383744215-porsche-911-carrera-4s-porsche-argentina-_JM,2020,Porsche,911 Carrera S,7,9,8,7,6,37,7,5,9,3,6,30,67,29:34,San Diego,California,Germany
Porsche 911 Carrera S 2020,Porsche,911,3.8 Carrera 4 S Coupe 385cv (997),51000 km,3.8,Nafta,Manual,2007,San Isidro,127900,USD,https://auto.mercadolibre.com.ar/MLA-1390865187-porsche-911-997-carrera-4s-manual-_JM,2020,Porsche,911 Carrera S,7,9,8,7,6,37,7,5,9,3,6,30,67,29:34,San Diego,California,Germany
Porsche 911 Carrera S 2020,Porsche,911,3.8 Carrera 4 S 400cv (991),39000 km,3.8,Nafta,Manual,2013,Capital Federal,215000,USD,https://auto.mercadolibre.com.ar/MLA-1520490628-porsche-911-2013-38-carrera-4-s-400cv-991-_JM,2020,Porsche,911 Carrera S,7,9,8,7,6,37,7,5,9,3,6,30,67,29:34,San Diego,California,Germany
Porsche 911 Carrera S 2020,Porsche,911,3.8 Carrera 4 S Coupe 385cv (997),52000 km,3.8,Nafta,Manual,2011,Capital Federal,167000,USD,https://auto.mercadolibre.com.ar/MLA-1520568896-porsche-911-2011-38-carrera-4-s-coupe-385cv-997-_JM,2020,Porsche,911 Carrera S,7,9,8,7,6,37,7,5,9,3,6,30,67,29:34,San Diego,California,Germany
Porsche 911 Carrera S 2020,Porsche,911,3.8 Carrera 4 S Manual,29500 km,3.8,Nafta,Manual,2018,La Rioja Capital,305000,USD,https://auto.mercadolibre.com.ar/MLA-1520554814-porsche-911-carrera-s-9912-_JM,2020,Porsche,911 Carrera S,7,9,8,7,6,37,7,5,9,3,6,30,67,29:34,San Diego,California,Germany
Porsche 911 Carrera S 2020,Porsche,911,3.8 Carrera 4 S Cabriolet 385cv (997),22000 km,3.8,Nafta,Manual,2011,Capital Federal,180000,USD,https://auto.mercadolibre.com.ar/MLA-1502518100-porsche-911-carrera-4s-cabriolet-385cv-997-_JM,2020,Porsche,911 Carrera S,7,9,8,7,6,37,7,5,9,3,6,30,67,29:34,San Diego,California,Germany
Porsche 911 Carrera S 2020,Porsche,911,3.4 Carrera 4 S,42000 km,3.4,Nafta,Automática,2006,Capital Federal,130000,USD,https://auto.mercadolibre.com.ar/MLA-1385441041-porsche-911-2006-34-carrera-4-s-_JM,2020,Porsche,911 Carrera S,7,9,8,7,6,37,7,5,9,3,6,30,67,29:34,San Diego,California,Germany
Porsche 911 Carrera S 2020,Porsche,911,3.4 Carrera 4 S,60000 km,3.4,Nafta,Automática,2006,Castelar,135000,USD,https://auto.mercadolibre.com.ar/MLA-1387675109-porsche-911-carrera-4s-38-355cv-no-cayman-boxster-gt3-_JM,2020,Porsche,911 Carrera S,7,9,8,7,6,37,7,5,9,3,6,30,67,29:34,San Diego,California,Germany
Porsche 911 Carrera S 2020,Porsche,911,3.4 Carrera 4 S Cabriolet,49000 km,3.4,Nafta,Automática,2007,Capital Federal,145000,USD,https://auto.mercadolibre.com.ar/MLA-1385701575-porsche-911-2007-34-carrera-4-s-cabriolet-_JM,2020,Porsche,911 Carrera S,7,9,8,7,6,37,7,5,9,3,6,30,67,29:34,San Diego,California,Germany
Porsche 911 Carrera S 2020,Porsche,911,3.8 Carrera S 400cv (991),29800 km,3.8,Nafta,Manual,2015,Córdoba,275000,USD,https://auto.mercadolibre.com.ar/MLA-1489850340-porsche-911-2015-38-carrera-s-400cv-991-_JM,2020,Porsche,911 Carrera S,7,9,8,7,6,37,7,5,9,3,6,30,67,29:34,San Diego,California,Germany
Porsche 911 Carrera S 2020,Porsche,911,3.4 Carrera 2 S,35000 km,3.4,Nafta,Automática,2005,Berazategui,135000,USD,https://auto.mercadolibre.com.ar/MLA-1521785656-porsche-911-carrera-s-_JM,2020,Porsche,911 Carrera S,7,9,8,7,6,37,7,5,9,3,6,30,67,29:34,San Diego,California,Germany
Aston Martin Vantage 2019,Aston Martin,Vantage,ROADSTER SPORTSHIFT V8,31000 km,V8,Nafta,Automática,2009,Capital Federal,169900,ARS,https://auto.mercadolibre.com.ar/MLA-1387693057-aston-martin-vantage-roadster-ferrari-porsche-maserati-_JM,2019,Aston Martin,Vantage,7,9,8,8,7,39,6,6,7,3,6,28,67,23:13,Newport Beach,California,UK
Mercedes-Benz AMG GT S 2017,Mercedes-Benz,GTS,GT S AMG,10000 km,1.4,Nafta,Manual,2017,Capital Federal,280000,USD,https://auto.mercadolibre.com.ar/MLA-1528717294-mercedes-benz-gts-gt-s-amg-_JM,2017,Mercedes-Benz,AMG GT S,7,8,8,8,7,38,6,6,7,3,7,29,67,8:13,West Chester,Pennsylvania,Germany
